1F415,dog2,265: :dog2:
1F416,pig2,266: :pig2:
1F417,boar,267: :boar:
1F418,elephant,268: :elephant:
1F419,octopus,269: :octopus:
1F41A,shell,270: :shell:
1F41B,bug,271: :bug:
1F41C,ant,272: :ant:
1F41D,bee/honeybee,273: :bee/honeybee:
1F41E,beetle,274: :beetle:
1F41F,fish,275: :fish:
1F420,tropical_fish,276: :tropical_fish:
1F421,blowfish,277: :blowfish:
1F422,turtle,278: :turtle:
1F423,hatching_chick,279: :hatching_chick:
1F424,baby_chick,280: :baby_chick:
1F425,hatched_chick,281: :hatched_chick:
1F426,bird,282: :bird:
1F427,penguin,283: :penguin:
1F428,koala,284: :koala:
1F429,poodle,285: :poodle:
1F42A,dromedary_camel,286: :dromedary_camel:
1F42B,camel,287: :camel:
1F42C,dolphin/flipper,288: :dolphin/flipper:
1F42D,mouse,289: :mouse:
1F42E,cow,290: :cow:
1F42F,tiger,291: :tiger:
1F430,rabbit,292: :rabbit:
1F431,cat,293: :cat:
1F432,dragon_face,294: :dragon_face:
1F433,whale,295: :whale:
1F434,horse,296: :horse:
1F435,monkey_face,297: :monkey_face:
1F436,dog,298: :dog:
1F437,pig,299: :pig:
1F438,frog,300: :frog:
1F439,hamster,301: :hamster:
1F43A,wolf,302: :wolf:
1F43B,bear,303: :bear:
1F43C,panda_face,304: :panda_face:
1F43D,pig_nose,305: :pig_nose:
1F43E,feet/paw_prints,306: :feet/paw_prints:
1F440,eyes,307: :eyes:
1F442,ear,308: :ear:
1F443,nose,309: :nose:
1F444,lips,310: :lips:
1F445,tongue,311: :tongue:
1F446,point_up_2,312: :point_up_2:
1F447,point_down,313: :point_down:
1F448,point_left,314: :point_left:
1F449,point_right,315: :point_right:
1F44A,facepunch/punch,316: :facepunch/punch:
1F44B,wave,317: :wave:
1F44C,ok_hand,318: :ok_hand:
1F44D,+1/thumbsup,319: :+1/thumbsup:
1F44E,-1/thumbsdown,320: :-1/thumbsdown:
1F44F,clap,321: :clap:
1F450,open_hands,322: :open_hands:
1F451,crown,323: :crown:
1F452,womans_hat,324: :womans_hat:
1F453,eyeglasses,325: :eyeglasses:
1F454,necktie,326: :necktie:
1F455,shirt/tshirt,327: :shirt/tshirt:
1F456,jeans,328: :jeans:
1F457,dress,329: :dress:
1F458,kimono,330: :kimono:
1F459,bikini,331: :bikini:
1F45A,womans_clothes,332: :womans_clothes:
1F45B,purse,333: :purse:
1F45C,handbag,334: :handbag:
1F45D,pouch,335: :pouch:
1F45E,mans_shoe/shoe,336: :mans_shoe/shoe:
1F45F,athletic_shoe,337: :athletic_shoe:
1F460,high_heel,338: :high_heel:
1F461,sandal,339: :sandal:
1F462,boot,340: :boot:
1F463,footprints,341: :footprints:
1F464,bust_in_silhouette,342: :bust_in_silhouette:
1F465,busts_in_silhouette,343: :busts_in_silhouette:
1F466,boy,344: :boy:
1F467,girl,345: :girl:
1F468,man,346: :man:
1F469,woman,347: :woman:
1F46A,family/man-woman-boy,348: :family/man-woman-boy:
1F46B,couple/man_and_woman_holding_hands,349: :couple/man_and_woman_holding_hands:
1F46C,two_men_holding_hands,350: :two_men_holding_hands:
1F46D,two_women_holding_hands,351: :two_women_holding_hands:
1F46E,cop,352: :cop:
1F46F,dancers,353: :dancers:
1F470,bride_with_veil,354: :bride_with_veil:
1F471,person_with_blond_hair,355: :person_with_blond_hair:
1F472,man_with_gua_pi_mao,356: :man_with_gua_pi_mao:
1F473,man_with_turban,357: :man_with_turban:
1F474,older_man,358: :older_man:
1F475,older_woman,359: :older_woman:
1F476,baby,360: :baby:
1F477,construction_worker,361: :construction_worker:
1F478,princess,362: :princess:
1F479,japanese_ogre,363: :japanese_ogre:
1F47A,japanese_goblin,364: :japanese_goblin:
1F47B,ghost,365: :ghost:
1F47C,angel,366: :angel:
1F47D,alien,367: :alien:
1F47E,space_invader,368: :space_invader:
1F47F,imp,369: :imp:
1F480,skull,370: :skull:
1F481,information_desk_person,371: :information_desk_person:
1F482,guardsman,372: :guardsman:
1F483,dancer,373: :dancer:
1F484,lipstick,374: :lipstick:
1F485,nail_care,375: :nail_care:
1F486,massage,376: :massage:
1F487,haircut,377: :haircut:
1F488,barber,378: :barber:
1F489,syringe,379: :syringe:
1F48A,pill,380: :pill:
1F48B,kiss,381: :kiss:
1F48C,love_letter,382: :love_letter:
1F48D,ring,383: :ring:
1F48E,gem,384: :gem:
1F48F,couplekiss,385: :couplekiss:
1F490,bouquet,386: :bouquet:
1F491,couple_with_heart,387: :couple_with_heart:
1F492,wedding,388: :wedding:
1F493,heartbeat,389: :heartbeat:
1F494,broken_heart,390: :broken_heart:
1F495,two_hearts,391: :two_hearts:
1F496,sparkling_heart,392: :sparkling_heart:
1F497,heartpulse,393: :heartpulse:
1F498,cupid,394: :cupid:
1F499,blue_heart,395: :blue_heart:
1F49A,green_heart,396: :green_heart:
1F49B,yellow_heart,397: :yellow_heart:
1F49C,purple_heart,398: :purple_heart:
1F49D,gift_heart,399: :gift_heart:
1F49E,revolving_hearts,400: :revolving_hearts:
1F49F,heart_decoration,401: :heart_decoration:
1F4A0,diamond_shape_with_a_dot_inside,402: :diamond_shape_with_a_dot_inside:
1F4A1,bulb,403: :bulb:
1F4A2,anger,404: :anger:
1F4A3,bomb,405: :bomb:
1F4A4,zzz,406: :zzz:
1F4A5,boom/collision,407: :boom/collision:
1F4A6,sweat_drops,408: :sweat_drops:
1F4A7,droplet,409: :droplet:
1F4A8,dash,410: :dash:
1F4A9,hankey/poop/shit,411: :hankey/poop/shit:
1F4AA,muscle,412: :muscle:
1F4AB,dizzy,413: :dizzy:
1F4AC,speech_balloon,414: :speech_balloon:
1F4AD,thought_balloon,415: :thought_balloon:
