26f3,26f3,flag in hole,:golf:,,6,0,99: :golf: | ,99: :golf:,99: 
26f5,26f5,sailboat,:sailboat:,,10,0,100: :sailboat: | ,100: :sailboat:,100: 
26fa,26fa,tent,:tent:,,6,0,101: :tent: | ,101: :tent:,101: 
26fd,26fd,fuel pump,:fuelpump:,,10,0,102: :fuelpump: | ,102: :fuelpump:,102: 
2702,2702-fe0f,scissors,:scissors:,,10,0,103: :scissors: | ,103: :scissors:,103: 
2705,2705,white heavy check mark,:white_check_mark:,,18,0,104: :white_check_mark: | ,104: :white_check_mark:,104: 
2708,2708-fe0f,airplane,:airplane:,,10,0,105: :airplane: | ,105: :airplane:,105: 
2709,2709-fe0f,envelope,:envelope:,,10,0,106: :envelope: | ,106: :envelope:,106: 
270a,270a,raised fist,:fist:,,6,0,107: :fist: | ,107: :fist:,107: 
270b,270b,raised hand,:raised_hand:,,13,0,108: :raised_hand: | ,108: :raised_hand:,108: 
270c,270c-fe0f,victory hand,:v:,,3,0,109: :v: | ,109: :v:,109: 
270f,270f-fe0f,pencil,:pencil2:,,9,0,110: :pencil2: | ,110: :pencil2:,110: 
2712,2712-fe0f,black nib,:black_nib:,,11,0,111: :black_nib: | ,111: :black_nib:,111: 
2714,2714-fe0f,heavy check mark,:heavy_check_mark:,,18,0,112: :heavy_check_mark: | ,112: :heavy_check_mark:,112: 
2716,2716-fe0f,heavy multiplication x,:heavy_multiplication_x:,,24,0,113: :heavy_multiplication_x: | ,113: :heavy_multiplication_x:,113: 
2728,2728,sparkles,:sparkles:,,10,0,114: :sparkles: | ,114: :sparkles:,114: 
2733,2733-fe0f,eight-spoked asterisk,:eight_spoked_asterisk:,,23,0,115: :eight_spoked_asterisk: | ,115: :eight_spoked_asterisk:,115: 
2734,2734-fe0f,eight-pointed star,:eight_pointed_black_star:,,26,0,116: :eight_pointed_black_star: | ,116: :eight_pointed_black_star:,116: 
2744,2744-fe0f,snowflake,:snowflake:,,11,0,117: :snowflake: | ,117: :snowflake:,117: 
2747,2747-fe0f,sparkle,:sparkle:,,9,0,118: :sparkle: | ,118: :sparkle:,118: 
274c,274c,cross mark,:x:,,3,0,119: :x: | ,119: :x:,119: 
274e,274e,cross mark button,:negative_squared_cross_mark:,,29,0,120: :negative_squared_cross_mark: | ,120: :negative_squared_cross_mark:,120: 
2753,2753,question mark,:question:,,10,0,121: :question: | ,121: :question:,121: 
2754,2754,white question mark,:grey_question:,,15,0,122: :grey_question: | ,122: :grey_question:,122: 
