emoji,description,aliases/0,aliases/1,aliases/2,1: :aliases/0: | :aliases/1: | :aliases/2:,tags/0,tags/1,tags/2,tags/3,emoticons/0,emoticons/1,emoticons/2,emoticons/3,emoticons/4,emoticons/5,emoticons/6,emoticons/7,emoticons/8,emoticons/9,emoticons/10,emoticons/11,emoticons/12,emoticons/13,emoticons/14,emoticons/15,emoticons/16,emoticons/17,emoticons/18,emoticons/19,emoticons/20,emoticons/21,emoticons/22,emoticons/23,emoticons/24,emoticons/25,emoticons/26,emoticons/27,emoticons/28,emoticons/29,emoticons/30,emoticons/31,emoticons/32,emoticons/33,emoticons/34,emoticons/35
😖,confounded face,confounded,,,38: :confounded: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😆,smiling face with open mouth and tightly-closed eyes,laughing,satisfied,,39: :laughing: | :satisfied: | ::,happy,haha,,,x),x],xD,x-),x-],x-D,X),X],X-),X-],X-D,,,,,,,,,,,,,,,,,,,,,,,,,
😋,face savouring delicious food,yum,,,40: :yum: | :: | ::,tongue,lick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😷,face with medical mask,mask,,,41: :mask: | :: | ::,sick,ill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😎,smiling face with sunglasses,sunglasses,,,42: :sunglasses: | :: | ::,cool,,,,8),8],8D,8-),8-],8-D,B),B],B-),B-],B-D,,,,,,,,,,,,,,,,,,,,,,,,,
😴,sleeping face,sleeping,,,43: :sleeping: | :: | ::,zzz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😵,dizzy face,dizzy_face,,,44: :dizzy_face: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😲,astonished face,astonished,,,45: :astonished: | :: | ::,amazed,gasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😟,worried face,worried,,,46: :worried: | :: | ::,nervous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😦,frowning face with open mouth,frowning,,,47: :frowning: | :: | ::,,,,,:(,:[,:-(,:-[,=(,=[,=-(,=-[,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😧,anguished face,anguished,,,48: :anguished: | :: | ::,stunned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😈,smiling face with horns,smiling_imp,,,49: :smiling_imp: | :: | ::,devil,evil,horns,,]:),]:],]:D,]:-),]:-],]:-D,]=),]=],]=D,]=-),]=-],]=-D,,,,,,,,,,,,,,,,,,,,,,,,
👿,imp,imp,,,50: :imp: | :: | ::,angry,devil,evil,horns,]:(,]:[,]:-(,]:-[,]=(,]=[,]=-(,]=-[,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😮,face with open mouth,open_mouth,,,51: :open_mouth: | :: | ::,surprise,impressed,wow,,:o,:O,:0,:-o,:-O,:-0,=o,=O,=0,=-o,=-O,=-0,,,,,,,,,,,,,,,,,,,,,,,,
😬,grimacing face,grimacing,,,52: :grimacing: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😐,neutral face,neutral_face,,,53: :neutral_face: | :: | ::,meh,,,,:|,:-|,=|,=-|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😕,confused face,confused,,,54: :confused: | :: | ::,,,,,:/,:\,:-/,:-\,=/,=\,=-/,=-\,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😯,hushed face,hushed,,,55: :hushed: | :: | ::,silence,speechless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😶,face without mouth,no_mouth,,,56: :no_mouth: | :: | ::,mute,silence,,,:-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😇,smiling face with halo,innocent,,,57: :innocent: | :: | ::,angel,,,,o:),o:],o:D,o:-),o:-],o:-D,o=),o=],o=D,o=-),o=-],o=-D,O:),O:],O:D,O:-),O:-],O:-D,O=),O=],O=D,O=-),O=-],O=-D,0:),0:],0:D,0:-),0:-],0:-D,0=),0=],0=D,0=-),0=-],0=-D
😏,smirking face,smirk,,,58: :smirk: | :: | ::,smug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😑,expressionless face,expressionless,,,59: :expressionless: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👲,man with gua pi mao,man_with_gua_pi_mao,,,60: :man_with_gua_pi_mao: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👳,man with turban,man_with_turban,,,61: :man_with_turban: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👮,police officer,cop,,,62: :cop: | :: | ::,police,law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👷,construction worker,construction_worker,,,63: :construction_worker: | :: | ::,helmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💂,guardsman,guardsman,,,64: :guardsman: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👶,baby,baby,,,65: :baby: | :: | ::,child,newborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👦,boy,boy,,,66: :boy: | :: | ::,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👧,girl,girl,,,67: :girl: | :: | ::,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👨,man,man,,,68: :man: | :: | ::,mustache,father,dad,,:3,:-3,=3,=-3,;3,;-3,x3,x-3,X3,X-3,,,,,,,,,,,,,,,,,,,,,,,,,,
👩,woman,woman,,,69: :woman: | :: | ::,girls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👴,older man,older_man,,,70: :older_man: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👵,older woman,older_woman,,,71: :older_woman: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👱,person with blond hair,person_with_blond_hair,,,72: :person_with_blond_hair: | :: | ::,boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👼,baby angel,angel,,,73: :angel: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👸,princess,princess,,,74: :princess: | :: | ::,blonde,crown,royal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😺,smiling cat face with open mouth,smiley_cat,,,75: :smiley_cat: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😸,grinning cat face with smiling eyes,smile_cat,,,76: :smile_cat: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😻,smiling cat face with heart-shaped eyes,heart_eyes_cat,,,77: :heart_eyes_cat: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😽,kissing cat face with closed eyes,kissing_cat,,,78: :kissing_cat: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😼,cat face with wry smile,smirk_cat,,,79: :smirk_cat: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙀,weary cat face,scream_cat,,,80: :scream_cat: | :: | ::,horror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😿,crying cat face,crying_cat_face,,,81: :crying_cat_face: | :: | ::,sad,tear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😹,cat face with tears of joy,joy_cat,,,82: :joy_cat: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
😾,pouting cat face,pouting_cat,,,83: :pouting_cat: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👹,japanese ogre,japanese_ogre,,,84: :japanese_ogre: | :: | ::,monster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👺,japanese goblin,japanese_goblin,,,85: :japanese_goblin: | :: | ::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙈,see-no-evil monkey,see_no_evil,,,86: :see_no_evil: | :: | ::,monkey,blind,ignore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙉,hear-no-evil monkey,hear_no_evil,,,87: :hear_no_evil: | :: | ::,monkey,deaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🙊,speak-no-evil monkey,speak_no_evil,,,88: :speak_no_evil: | :: | ::,monkey,mute,hush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💀,skull,skull,,,89: :skull: | :: | ::,dead,danger,poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👽,extraterrestrial alien,alien,,,90: :alien: | :: | ::,ufo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
