:zap:,:smile_cat:,:japanese_ogre:,:cloud:,:cactus:,,:zap:
:white_circle:,:joy_cat:,:japanese_goblin:,:wheelchair:,:tulip:,,:white_circle:
:black_circle:,:heart_eyes_cat:,:see_no_evil:,:anchor:,:cherry_blossom:,,:black_circle:
:soccer:,:smirk_cat:,:hear_no_evil:,:heart:,:rose:,,:soccer:
:baseball:,:kissing_cat:,:speak_no_evil:,:relaxed:,:hibiscus:,,:baseball:
:snowman:,:scream_cat:,:skull:,:satisfied:,:sunflower:,,:snowman:
:partly_sunny:,:crying_cat_face:,:alien:,:sun_with_face:,:blossom:,,:partly_sunny:
:ophiuchus:,:pouting_cat:,:hankey:,:shit:,:corn:,,:ophiuchus:
:person_doing_cartwheel:,:raised_hands:,:fire:,:sunrise_over_mountains:,:ear_of_rice:,,:person_doing_cartwheel:
:no_entry:,:clap:,:sparkles:,,:herb:,,:no_entry:
:church:,:wave:,:star2:,,:four_leaf_clover:,,:church:
:fountain:,:call_me_hand:,:dizzy:,,:maple_leaf:,,:fountain:
:canoe:,:-1:,:boom:,,:fallen_leaf:,,:canoe:
:golf:,:fist:,:anger:,,:leaves:,,:golf:
:sailboat:,:v:,:sweat_drops:,,:mushroom:,,:sailboat:
:tent:,:ok_hand:,:droplet:,,:tomato:,,:tent:
:fuelpump:,:raised_hand:,:zzz:,,:eggplant:,,:fuelpump:
:scissors:,:raised_back_of_hand:,:dash:,,:grapes:,,:scissors:
:white_check_mark:,:open_hands:,:ear:,,:melon:,,:white_check_mark:
:airplane:,:muscle:,:eyes:,,:watermelon:,,:airplane:
:envelope:,:pray:,:nose:,,:tangerine:,,:envelope:
:fist:,:handshake:,:tongue:,,:lemon:,,:fist:
:raised_hand:,:point_up:,:lips:,,:banana:,,:raised_hand:
:v:,:point_up_2:,:+1:,,:pineapple:,,:v:
:pencil2:,:point_down:,:-1:,,:apple:,,:pencil2:
:black_nib:,:point_left:,:ok_hand:,,:green_apple:,,:black_nib:
:heavy_check_mark:,:point_right:,:fist:,,:pear:,,:heavy_check_mark:
:heavy_multiplication_x:,:raised_hand_with_fingers_splayed:,:v:,,:peach:,,:heavy_multiplication_x:
